module,target,total,missing,real_missing,crc_mismatch,result
dp83867,ubuntu-24.04-ga,22,1,1,21,FAIL
dp83867,ubuntu-24.04-hwe,22,0,0,0,PASS
dwmac-intel,ubuntu-24.04-ga,60,2,1,58,FAIL
dwmac-intel,ubuntu-24.04-hwe,60,0,0,0,PASS
hpwdt,ubuntu-24.04-ga,29,0,0,29,FAIL
hpwdt,ubuntu-24.04-hwe,29,0,0,0,PASS
igc,ubuntu-24.04-ga,250,27,19,223,FAIL
igc,ubuntu-24.04-hwe,250,0,0,0,PASS
igen6_edac,ubuntu-24.04-ga,49,2,0,47,FAIL
igen6_edac,ubuntu-24.04-hwe,49,0,0,0,PASS
intel-ipu6-isys,ubuntu-24.04-ga,144,28,26,116,FAIL
intel-ipu6-isys,ubuntu-24.04-hwe,144,0,0,0,PASS
intel-ipu6,ubuntu-24.04-ga,105,8,1,97,FAIL
intel-ipu6,ubuntu-24.04-hwe,105,0,0,0,PASS
intel-ipu7-isys,ubuntu-24.04-ga,136,23,21,113,FAIL
intel-ipu7-isys,ubuntu-24.04-hwe,136,0,0,0,PASS
intel-ipu7,ubuntu-24.04-ga,114,9,1,105,FAIL
intel-ipu7,ubuntu-24.04-hwe,114,0,0,0,PASS
intel_pmc_core,ubuntu-24.04-ga,85,7,4,78,FAIL
intel_pmc_core,ubuntu-24.04-hwe,85,0,0,0,PASS
intel_rapl_common,ubuntu-24.04-ga,56,5,2,51,FAIL
intel_rapl_common,ubuntu-24.04-hwe,56,0,0,0,PASS
intel_rapl_msr,ubuntu-24.04-ga,24,5,4,19,FAIL
intel_rapl_msr,ubuntu-24.04-hwe,24,0,0,0,PASS
intel_rapl_tpmi,ubuntu-24.04-ga,25,3,2,22,FAIL
intel_rapl_tpmi,ubuntu-24.04-hwe,25,0,0,0,PASS
intel_skl_int3472_discrete,ubuntu-24.04-ga,53,5,3,48,FAIL
intel_skl_int3472_discrete,ubuntu-24.04-hwe,53,0,0,0,PASS
ipmi_watchdog,ubuntu-24.04-ga,58,7,4,51,FAIL
ipmi_watchdog,ubuntu-24.04-hwe,58,0,0,0,PASS
ipu-bridge,ubuntu-24.04-ga,52,3,0,49,FAIL
ipu-bridge,ubuntu-24.04-hwe,52,0,0,0,PASS
ksz_switch,ubuntu-24.04-ga,110,9,6,101,FAIL
ksz_switch,ubuntu-24.04-hwe,110,0,0,0,PASS
max96717,ubuntu-24.04-ga,58,2,1,56,FAIL
max96717,ubuntu-24.04-hwe,58,0,0,0,PASS
mei-gsc,ubuntu-24.04-ga,41,0,0,41,FAIL
mei-gsc,ubuntu-24.04-hwe,41,0,0,0,PASS
mei,ubuntu-24.04-ga,133,10,4,123,FAIL
mei,ubuntu-24.04-hwe,133,0,0,0,PASS
mei-vsc,ubuntu-24.04-ga,42,1,0,41,FAIL
mei-vsc,ubuntu-24.04-hwe,42,0,0,0,PASS
mxl-gpy,ubuntu-24.04-ga,45,0,0,45,FAIL
mxl-gpy,ubuntu-24.04-hwe,45,0,0,0,PASS
phylink,ubuntu-24.04-ga,115,13,11,102,FAIL
phylink,ubuntu-24.04-hwe,115,0,0,0,PASS
pps_gen_tio,ubuntu-24.04-ga,30,7,6,23,FAIL
pps_gen_tio,ubuntu-24.04-hwe,30,0,0,0,PASS
pps-ldisc,ubuntu-24.04-ga,20,1,0,19,FAIL
pps-ldisc,ubuntu-24.04-hwe,20,0,0,0,PASS
pps_parport,ubuntu-24.04-ga,29,2,0,27,FAIL
pps_parport,ubuntu-24.04-hwe,29,0,0,0,PASS
processor_thermal_rapl,ubuntu-24.04-ga,10,0,0,10,FAIL
processor_thermal_rapl,ubuntu-24.04-hwe,10,0,0,0,PASS
snd-soc-sof_rt5682,ubuntu-24.04-ga,58,3,2,55,FAIL
snd-soc-sof_rt5682,ubuntu-24.04-hwe,58,0,0,0,PASS
snd-sof-intel-hda-generic,ubuntu-24.04-ga,147,63,61,84,FAIL
snd-sof-intel-hda-generic,ubuntu-24.04-hwe,147,0,0,0,PASS
soundwire-generic-allocation,ubuntu-24.04-ga,19,5,1,14,FAIL
soundwire-generic-allocation,ubuntu-24.04-hwe,19,0,0,0,PASS
spi-pxa2xx-core,ubuntu-24.04-ga,44,2,0,42,FAIL
spi-pxa2xx-core,ubuntu-24.04-hwe,44,0,0,0,PASS
stmmac,ubuntu-24.04-ga,304,33,27,271,FAIL
stmmac,ubuntu-24.04-hwe,304,0,0,0,PASS
v4l2-async,ubuntu-24.04-ga,36,5,2,31,FAIL
v4l2-async,ubuntu-24.04-hwe,36,0,0,0,PASS
virtio-gpu,ubuntu-24.04-ga,264,21,13,243,FAIL
virtio-gpu,ubuntu-24.04-hwe,264,0,0,0,PASS
